Sheet: P013_1_T_2024年度资本管理第三支柱信息披露资产负债
      0                                            1                              2                              3      4    5
0   项目0                                          NaN  a>>2024年12月31日>>财务并表范围下的资产负债表  b>>2024年12月31日>>监管并表范围下的资产负债表  c>>代码  行标记
1   NaN                                          NaN                    2024年12月31日                            NaN     代码    0
2   NaN                                          NaN                 财务并表范围下的 资产负债表                 监管并表范围下的 资产负债表    NaN    0
3   NaN                               30>>应交税费>>应交税费                         40,388                         40,021    NaN    1
4   NaN                               31>>预计负债>>预计负债                         38,322                         38,321    NaN    1
5   NaN                         32>>已发行债务证券>>已发行债务证券                      2,386,595                      2,374,239    NaN    1
6   NaN                         33>>递延所得税负债>>递延所得税负债                          1,525                            759    NaN    1
7   NaN      34>>其中:与商誉相关的递延所得税负债>>其中:与商誉相关的递延所得税负 债                            NaN                            NaN      C    1
8   NaN  35>>其中:与无形资产相关的递延所得税负债>>其中:与无形资产相关的递延所得 税负债                            NaN                            NaN      d    1
9   NaN                               36>>其他负债>>其他负债                        652,962                        362,127    NaN    1
10  NaN                               37>>负债合计>>负债合计                     37,227,184                     36,906,250    NaN    1
11  NaN                                         股东权益                            NaN                            NaN    NaN    1
12  NaN                                   38>>股本>>股本                        250,011                        250,011      e    1
13  NaN                   39>>其他权益工具-优先股>>其他权益工具-优先股                         59,977                         59,977    NaN    1
14  NaN                   40>>其他权益工具-永续债>>其他权益工具-永续债                        100,000                        100,000    NaN    1
15  NaN                               41>>资本公积>>资本公积                        135,736                        135,610      g    1
16  NaN                           42>>其他综合收益>>其他综合收益                         57,901                         65,136    NaN    1
17  NaN                               43>>盈余公积>>盈余公积                        402,196                        402,196      h    1
18  NaN                           44>>一般风险准备>>一般风险准备                        534,591                        534,151     一.    1
19  NaN                             45>>未分配利润>>未分配利润                      1,781,715                      1,782,502      J    1

