=== 第一个Sheet完整数据 ===
                          0                                            1                                    2                3                4                5                                       6
0                       项目0                                          NaN                       a>>2024年12月31日    b>>2024年9月30日    c>>2024年6月30日    d>>2024年3月31日                                     行标记
1                       NaN                                          NaN                                  NaN  2024 年 9 月 30 日  2024 年 6 月 30 日  2024 年 3 月 31 日                                       0
2                       NaN                                     可用资本(数额)                                  NaN              NaN              NaN              NaN                                       0
3                       NaN                           可用资本(数额)>>核心一级资本净额                             核心一级资本净额        3,124,043        3,038,387        3,045,754                                       1
4                       NaN                             可用资本(数额)>>一级资本净额                               一级资本净额        3,322,954        3,237,254        3,245,824                                       1
5                       NaN                               可用资本(数额)>>资本净额                                 资本净额        4,285,564        4,175,087        4,175,290                                       1
6                       NaN                                   风险加权资产(数额)                                  NaN              NaN              NaN              NaN                                       1
7                       NaN                         风险加权资产(数额)>>风险加权资产合计                             风险加权资产合计       22,150,555       21,690,492       21,586,165                                       1
8                       NaN                风险加权资产(数额)>>风险加权资产合计(应用资本底线前)                   风险加权资产合计(应用资本 底线前)       22,150,555       21,690,492       21,586,165                                       1
9                       NaN                                        资本充足率                                  NaN              NaN              NaN              NaN                                       1
10                      NaN                          资本充足率>>核心一级资本充足率(%)                         核心一级资本充足率(%)            14.10            14.01            14.11                                       1
11                      NaN                 资本充足率>>核心一级资本充足率(%)(应用资本底线前)               核心一级资本充足率(%) (应用资本底线前)            14.10            14.01            14.11                                       1
12                      NaN                            资本充足率>>一级资本充足率(%)                           一级资本充足率(%)            15.00            14.92            15.04                                       1
13                      NaN                   资本充足率>>一级资本充足率(%)(应用资本底线前)                 一级资本充足率(%)(应用 资本底线前)            15.00            14.92            15.04                                       1
14                      NaN                              资本充足率>>资本充足率(%)                             资本充足率(%)            19.35            19.25            19.34                                       1
15                      NaN                     资本充足率>>资本充足率(%)(应用资本底线前)                   资本充足率(%)(应用资本 底线前)            19.35            19.25            19.34                                       1
16                      NaN                                     其他各级资本要求                                  NaN              NaN              NaN              NaN                                       1
17                      NaN                          其他各级资本要求>>储备资本要求(%)                            储备资本要求(%)             2.50             2.50             2.50                                       1
18                      NaN                         其他各级资本要求>>逆周期资本要求(%)                           逆周期资本要求(%)             0.00             0.00             0.00                                       1
19                      NaN       其他各级资本要求>>全球系统重要性银行或国内系统重要性银行附加资本要求(%)       全球系统重要性银行或国内系 统重要性银行附加资本要求 (%)             1.50             1.50             1.50                                       1
20                      NaN                其他各级资本要求>>其他各级资本要求(%)(8+9+10)                 其他各级资本要求(%) (8+9+10)             4.00             4.00             4.00                                       1
21                      NaN  其他各级资本要求>>满足最低资本要求后的可用核心一级资本净额占风险加权资产的比例(%)  满足最低资本要求后的可用核 心一级资本净额占风险加权资 产的比例(%)             9.00             8.92             9.04                                       1
22                      NaN                                          杠杆率                                  NaN              NaN              NaN              NaN                                       1
23                      NaN                                          列标记                                    0                1                1                1  标记说明:0-纯文本 1-标准数值 2-格式问题 3-可能错误 4-混合类型
24                      NaN                                          NaN                                  NaN              NaN              NaN              NaN                                     NaN
25                      NaN                                          NaN                                  NaN              NaN              NaN              NaN                                     NaN
26                bankname:                                          NaN                                  NaN              NaN              NaN              NaN                                     NaN
27             currency:人民币                                          NaN                                  NaN              NaN              NaN              NaN                                     NaN
28      report_period:2024年                                          NaN                                  NaN              NaN              NaN              NaN                                     NaN
29                 unit:百万元                                          NaN                                  NaN              NaN              NaN              NaN                                     NaN
30  table_name:监管并表关键审慎监管指标                                          NaN                                  NaN              NaN              NaN              NaN                                     NaN
31           ocr_table_id:1                                          NaN                                  NaN              NaN              NaN              NaN                                     NaN
32                  entity:                                          NaN                                  NaN              NaN              NaN              NaN                                     NaN
